status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
310039442421596_941301229295411,"""Giving care workers a real living wage is the kind of investment our health service needs. Anyone who has been in receipt of care, or has had a family member receive care, knows that carers are just the salt of the earth. The idea that carers are paid no more than the minimum wage just beggars belief.""

Deputy Leader Alex Rowley speaks about Scottish Labour's plan to make our health service fit for the future whilst visiting Letham Park Care Home in Edinburgh today.

Find out more:
http://www.scottishlabour.org.uk/blog/entry/give-care-workers-a-real-living-wage",Timeline Photos,photo,https://www.facebook.com/ScottishLabourParty/photos/a.476899549068917.1073741825.310039442421596/941301229295411/?type=3,2015-11-17 05:36:00,101,15,40,101,0,0,0,0,0
310039442421596_940962725995928,"Kezia Dugdale visited pupils at Dumbarton Academy with Public Services Spokesperson Jackie Baillie this morning.

There, Kez spoke about how a government must be judged by the level of support it offers the most disadvantaged people in our society. In 2013/14 just 156 young people who were in care went on to higher education. We will change that. Kez has announced that a Scottish Labour Government will award student grant support of £6,000 a year to anybody who comes from care and manages to fight their way to higher education.

This is what Kez had to say ahead of her visit to Dumbarton Academy: 

""A government must be judged by how it supports the most disadvantaged people in our society, and they don't come much more disadvantaged than young people in care. We need to close the gap between the richest and the rest, so that care leavers can have as many opportunities to get on in life as any other young person.

""Too often we simply forget about them. Not necessarily out of malice or intent, but because they don't have enough people to speak up on their behalf. Whether because of neglect or circumstance, these are young people who grow up without the support network other talented young people take for granted, through no fault of their own.

""The reality is that young care leavers are more likely to go to jail than university. We need to reverse that trend, and the way to do that is to make it easier for care leavers to go on to higher education.

""Scottish Labour have a plan introduce full grant support, worth £6000 a year, for looked after young people who have the talent to go on to higher education. The SNP Government should use their existing attainment fund to introduce this plan.

""Politics is all about making choices. When we decide how to spend public money we are making clear our priorities. Giving young people the best start in life is my priority.""",Photos from Scottish Labour Party's post,photo,https://www.facebook.com/ScottishLabourParty/photos/a.476899549068917.1073741825.310039442421596/940962425995958/?type=3,2015-11-16 08:31:25,62,12,8,62,0,0,0,0,0
310039442421596_940909046001296,"""What was your reaction when you first heard about the terrorist attacks in Paris? For me, it was heartache. So many lives were lost and so many more were torn apart.""

Kez writes about the devastating terrorist attacks in Paris in the Daily Record today - and says we must not allow them to split our society.",We cannot allow the devastating attacks in Paris to split our society.,link,http://www.scottishlabour.org.uk/blog/entry/we-cannot-allow-the-devastating-attacks-in-paris-to-split-our-society,2015-11-16 05:14:19,59,21,6,59,0,0,0,0,0
310039442421596_940676209357913,"Had a busy week? Catch up on Scottish Labour's news now:
http://www.scottishlabour.org.uk/blog/entry/icymi-fmqs-womens-equality-and-sustainability",Timeline Photos,photo,https://www.facebook.com/ScottishLabourParty/photos/a.476899549068917.1073741825.310039442421596/940676209357913/?type=3,2015-11-15 15:03:00,17,6,2,17,0,0,0,0,0
310039442421596_940258916066309,"Thank you to all the activists who took our campaign to save tax credits to the streets today.

It was a UK Labour Government that introduced tax credits, and Scottish Labour will fight to protect them. We're making different choices from the Tories and the SNP so we can restore any money lost if George Osborne goes ahead with his planned cuts. 

Find out more about our plan →
http://www.scottishlabour.org.uk/blog/entry/take-it-to-the-streets",Timeline Photos,photo,https://www.facebook.com/ScottishLabourParty/photos/a.476899549068917.1073741825.310039442421596/940258916066309/?type=3,2015-11-14 15:15:45,118,33,16,118,0,0,0,0,0
310039442421596_940069992751868,,Kezia Dugdale,photo,https://www.facebook.com/kezia.dugdalemsp/photos/a.1616632025281340.1073741828.1595489564062253/1662470857364123/?type=3,2015-11-14 06:23:17,509,28,0,509,0,0,0,0,0
310039442421596_940039559421578,"Today, Scottish Labour activists are campaigning right across the country to #StopTheToryTaxCredit cut.

You still have time to find an event near you and join us there.

Can't make it? Share this blog and let your friends and family know that George Osborne's plan is wrong and that Scottish Labour has a plan to protect working families.

http://www.scottishlabour.org.uk/blog/entry/take-it-to-the-streets",Timeline Photos,photo,https://www.facebook.com/ScottishLabourParty/photos/a.476899549068917.1073741825.310039442421596/940039559421578/?type=3,2015-11-14 04:07:54,20,13,3,20,0,0,0,0,0
310039442421596_939783162780551,"TOMORROW: We'll take the campaign to #StopTheToryTaxCreditCut to the streets of Scotland.

Join us at one of the events happening across the country →
http://www.scottishlabour.org.uk/campaigns/entry/tax-credit-campaign",Timeline Photos,photo,https://www.facebook.com/ScottishLabourParty/photos/a.476899549068917.1073741825.310039442421596/939783162780551/?type=3,2015-11-13 13:54:01,53,21,20,53,0,0,0,0,0
310039442421596_939758032783064,"What happened this week in Scottish politics?

→  Scottish Labour launched a consultation on women's equality
→  The extent of SNP Government's failures on police was exposed
→  Scottish Labour took our campaign to    #StopTheToryTaxCreditCuts to the streets of Scotland.

Read up and get involved:
http://www.scottishlabour.org.uk/blog/entry/icymi-fmqs-womens-equality-and-sustainability",Timeline Photos,photo,https://www.facebook.com/ScottishLabourParty/photos/a.476899549068917.1073741825.310039442421596/939758032783064/?type=3,2015-11-13 10:31:33,43,10,6,43,0,0,0,0,0
310039442421596_939641276128073,,Kezia Dugdale,photo,https://www.facebook.com/kezia.dugdalemsp/photos/a.1616632025281340.1073741828.1595489564062253/1661967830747759/?type=3,2015-11-13 05:38:47,128,22,0,128,0,0,0,0,0
